open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
225.6,226.03,220.9,223.75,27367147.0,226.03,220.9,223.75,225.6,27367147.0,1.0,0.0,AMZN,XNAS,2024-12-27T00:00:00+0000
194.95,195.32,190.65,192.76,18891362.0,195.32,190.65,192.76,194.95,18891362.0,1.0,0.0,GOOGL,XNAS,2024-12-27T00:00:00+0000
257.83,258.7,253.06,255.59,42317100.0,258.7,253.06,255.59,257.83,42355321.0,1.0,0.0,AAPL,XNAS,2024-12-27T00:00:00+0000
196.47,196.8,191.972,194.04,14692994.0,196.8,191.972,194.04,196.47,14692994.0,1.0,0.0,GOOG,XNAS,2024-12-27T00:00:00+0000
196.74,198.16,195.87,197.1,7918434.0,198.16,195.87,197.1,196.74,7918434.0,1.0,0.0,GOOG,XNAS,2024-12-26T00:00:00+0000
439.08,440.92,436.63,438.11,8150331.0,440.94,436.63,438.11,439.08,8199927.0,1.0,0.0,MSFT,XNAS,2024-12-26T00:00:00+0000
258.355,260.09,257.63,259.02,27133647.0,260.1,257.63,259.02,258.19,27262983.0,1.0,0.0,AAPL,XNAS,2024-12-26T00:00:00+0000
228.5,228.5,226.6706,227.05,16174500.0,228.5,226.6706,227.05,228.5,16174500.0,1.0,0.0,AMZN,XNAS,2024-12-26T00:00:00+0000
195.15,196.748,194.375,195.6,12057210.0,196.748,194.375,195.6,195.15,12057210.0,1.0,0.0,GOOGL,XNAS,2024-12-26T00:00:00+0000
194.84,196.11,193.78,196.11,10403259.0,196.11,193.78,196.11,194.84,10403259.0,1.0,0.0,GOOGL,XNAS,2024-12-24T00:00:00+0000
196.17,197.67,195.1979,197.57,6809823.0,197.67,195.1979,197.57,196.17,6809823.0,1.0,0.0,GOOG,XNAS,2024-12-24T00:00:00+0000
226.94,229.14,226.13,229.05,15007497.0,229.14,226.13,229.05,226.94,15007497.0,1.0,0.0,AMZN,XNAS,2024-12-24T00:00:00+0000
434.65,439.6,434.19,439.33,7164543.0,439.6,434.19,439.33,434.65,7164543.0,1.0,0.0,MSFT,XNAS,2024-12-24T00:00:00+0000
255.49,258.21,255.29,258.2,23234705.0,258.21,255.29,258.2,255.49,23234705.0,1.0,0.0,AAPL,XNAS,2024-12-24T00:00:00+0000
254.77,255.65,253.45,255.27,37277559.0,255.65,253.45,255.27,254.77,40858774.0,1.0,0.0,AAPL,XNAS,2024-12-23T00:00:00+0000
192.62,195.1,190.15,194.63,25675014.0,195.1,190.15,194.63,192.62,25675014.0,1.0,0.0,GOOGL,XNAS,2024-12-23T00:00:00+0000
436.74,437.65,432.83,435.25,19127000.0,437.65,432.83,435.25,436.74,19152519.0,1.0,0.0,MSFT,XNAS,2024-12-23T00:00:00+0000
194.03,196.49,191.63,195.99,15235942.0,196.49,191.63,195.99,194.03,15235942.0,1.0,0.0,GOOG,XNAS,2024-12-23T00:00:00+0000
225.01,226.88,223.9,225.06,28070007.0,226.88,223.9,225.06,225.01,28070007.0,1.0,0.0,AMZN,XNAS,2024-12-23T00:00:00+0000
219.84,226.21,218.73,224.92,88279184.0,226.21,218.73,224.92,219.84,88279184.0,1.0,0.0,AMZN,XNAS,2024-12-20T00:00:00+0000
248.04,255.0,245.69,254.49,146890100.0,255.0,245.69,254.49,248.04,147495267.0,1.0,0.0,AAPL,XNAS,2024-12-20T00:00:00+0000
187.01,194.1354,186.37,192.96,45319703.0,194.1354,186.37,192.96,187.01,45319703.0,1.0,0.0,GOOG,XNAS,2024-12-20T00:00:00+0000
185.78,192.89,185.22,191.41,63462934.0,192.89,185.22,191.41,185.78,63462934.0,1.0,0.0,GOOGL,XNAS,2024-12-20T00:00:00+0000
433.11,443.74,428.63,436.6,64235200.0,443.74,428.63,436.6,433.11,64263694.0,1.0,0.0,MSFT,XNAS,2024-12-20T00:00:00+0000
441.62,443.18,436.32,437.03,22577700.0,443.1834,436.32,437.03,441.62,22963681.0,1.0,0.0,MSFT,XNAS,2024-12-19T00:00:00+0000
224.91,226.09,222.92,223.29,39918739.0,226.09,222.92,223.29,224.91,39918739.0,1.0,0.0,AMZN,XNAS,2024-12-19T00:00:00+0000
191.625,193.03,188.38,188.51,32265241.0,193.03,188.38,188.51,191.625,32265241.0,1.0,0.0,GOOGL,XNAS,2024-12-19T00:00:00+0000
247.5,252.0,247.09,249.79,59903900.0,252.0,247.0949,249.79,247.5,60882264.0,1.0,0.0,AAPL,XNAS,2024-12-19T00:00:00+0000
193.28,194.6,189.52,189.7,26981196.0,194.6,189.52,189.7,193.28,26981196.0,1.0,0.0,GOOG,XNAS,2024-12-19T00:00:00+0000
196.83,198.6899,189.28,190.15,27638416.0,198.6899,189.28,190.15,196.83,27638416.0,1.0,0.0,GOOG,XNAS,2024-12-18T00:00:00+0000
451.32,452.65,437.02,437.39,24358600.0,452.65,437.02,437.39,451.32,24444545.0,1.0,0.0,MSFT,XNAS,2024-12-18T00:00:00+0000
252.22,254.28,247.75,248.05,55988391.0,254.28,247.74,248.05,252.16,56774101.0,1.0,0.0,AAPL,XNAS,2024-12-18T00:00:00+0000
230.77,231.3999,220.11,220.52,43281443.0,231.3999,220.11,220.52,230.77,43281443.0,1.0,0.0,AMZN,XNAS,2024-12-18T00:00:00+0000
195.22,197.0,187.74,188.4,34166074.0,197.0,187.74,188.4,195.22,34166074.0,1.0,0.0,GOOGL,XNAS,2024-12-18T00:00:00+0000
197.25,201.42,194.98,195.42,43504025.0,201.42,194.98,195.42,197.25,43504025.0,1.0,0.0,GOOGL,XNAS,2024-12-17T00:00:00+0000
198.53,202.88,196.69,197.12,24129481.0,202.88,196.69,197.12,198.53,24129481.0,1.0,0.0,GOOG,XNAS,2024-12-17T00:00:00+0000
232.39,232.73,227.85,231.15,35948131.0,232.73,227.85,231.15,232.39,35948131.0,1.0,0.0,AMZN,XNAS,2024-12-17T00:00:00+0000
451.01,455.29,449.57,454.46,22716300.0,455.29,449.57,454.46,451.01,22733494.0,1.0,0.0,MSFT,XNAS,2024-12-17T00:00:00+0000
